ticker,volume,volume_weighted_avg_price,open_price,close_price,highest_price,lowest_price,um_timestamp,transactions,market_close,market
GHTA,1311.0,29.304,29.33,29.3091,29.36,29.2401,1734123600000,14.0,2024-12-13,NYSE
TRTNpC,2665.0,24.6434,24.781,24.52,24.81,24.52,1734123600000,79.0,2024-12-13,NYSE
DFNL,6401.0,39.8329,39.9087,39.8235,39.9296,39.76,1734123600000,26.0,2024-12-13,NYSE
TUGN,20951.0,24.9013,25.0295,24.93,25.0295,24.84,1734123600000,86.0,2024-12-13,NYSE
BLACW,2000.0,0.04113,0.0344,0.0479,0.0479,0.0343,1734123600000,20.0,2024-12-13,NYSE
RVRB,101.0,31.9198,31.92,31.8582,31.92,31.8582,1734123600000,2.0,2024-12-13,NYSE
BLACR,1000.0,0.1142,0.1142,0.1142,0.1142,0.1142,1734123600000,1.0,2024-12-13,NYSE
KEUA,1386.0,21.6838,21.76,21.6058,21.76,21.6058,1734123600000,46.0,2024-12-13,NYSE
AAPR,5961.0,26.4888,26.49,26.495,26.495,26.47,1734123600000,5.0,2024-12-13,NYSE
EVLU,125.0,25.25,25.25,25.2084,25.25,25.2084,1734123600000,1.0,2024-12-13,NYSE
STXM,2082.0,27.3855,27.435,27.376,27.4367,27.32,1734123600000,36.0,2024-12-13,NYSE
